Year,Disease,Gender,WR Count,WR Crude Rate per 100000,WR 5 Year Average Rate,ON Crude Rate per 100000,ON 5 Year Average Rate
2017,Chlamydia,Female,1068,377.44,N/A,366.42,N/A
2017,Cholera,Female,0,0.00,N/A,0.04,N/A
2017,Creutzfeldt-Jakob Disease,Female,1,0.35,N/A,0.07,N/A
2017,Cryptosporidiosis,Female,5,1.77,N/A,2.92,N/A
2017,Cyclosporiasis,Female,3,1.06,N/A,2.41,N/A
2017,Diphtheria,Female,0,0.00,N/A,0.00,N/A
2017,Food Poisoning (all causes),Female,0,0.00,N/A,0.42,N/A
2017,Carbapenemase-producing Enterobacteriaceae (CPE),Female,0,0.00,N/A,0.00,N/A
2017,Encephalitis/Meningitis,Female,11,3.89,N/A,2.87,N/A
2017,Giardiasis,Female,16,5.65,N/A,7.18,N/A
2017,Gonorrhea,Female,147,51.95,N/A,31.96,N/A
2017,"Group A Streptococcal disease, invasive",Female,13,4.59,N/A,5.68,N/A
2017,"Group B Streptococcal disease, neonatal",Female,3,1.06,N/A,0.29,N/A
2017,"Haemophilus influenzae disease, all types",Female,0,0.00,N/A,0.00,N/A
2017,Hantavirus pulmonary syndrome,Female,0,0.00,N/A,0.00,N/A
2017,Hemorrhagic fevers and Lassa fever,Female,0,0.00,N/A,0.00,N/A
2017,Hepatitis A,Female,1,0.35,N/A,0.76,N/A
2017,Hepatitis B (acute),Female,2,0.71,N/A,0.60,N/A
2017,Hepatitis B (chronic),Female,21,7.42,N/A,12.28,N/A
2017,Hepatitis C,Female,59,20.85,N/A,27.77,N/A
2017,HIV,Female,3,1.06,N/A,2.23,N/A
2017,Influenza,Female,198,69.98,N/A,90.86,N/A
2017,Legionellosis,Female,3,1.06,N/A,0.88,N/A
2017,Leprosy,Female,0,0.00,N/A,0.00,N/A
2017,Listeriosis,Female,0,0.00,N/A,0.34,N/A
2017,Lyme Disease,Female,8,2.83,N/A,6.01,N/A
2017,Measles,Female,0,0.00,N/A,0.06,N/A
2017,Tularemia,Female,0,0.00,N/A,0.00,N/A
2017,Typhoid Fever/Paratyphoid Fever,Female,4,1.41,N/A,0.88,N/A
2017,Verotoxin-producing E. coli,Female,4,1.41,N/A,0.98,N/A
2017,Yersiniosis,Female,6,2.12,N/A,1.93,N/A
2017,"Meningococcal disease, invasive",Female,1,0.35,N/A,0.25,N/A
2017,Mpox,Female,0,0.00,N/A,0.00,N/A
2017,Mumps,Female,7,2.47,N/A,1.63,N/A
2017,Ophthalmia Neonatorum,Female,0,0.00,N/A,0.04,N/A
2017,Paralytic Shellfish Poisoning,Female,0,0.00,N/A,0.00,N/A
2017,Pertussis,Female,9,3.18,N/A,4.36,N/A
2017,Poliomyelitis (polio) and Acute Flaccid Paralysis,Female,0,0.00,N/A,0.01,N/A
2017,Powassan Virus,Female,0,0.00,N/A,0.00,N/A
2017,Psittacosis/Ornithosis,Female,0,0.00,N/A,0.00,N/A
