Year,Disease,Age Group,WR Count,WR Crude Rate per 100000,WR 5 Year Average Rate,ON Crude Rate per 100000,ON 5 Year Average Rate
2015,Cryptosporidiosis,40-49,1,1.32,N/A,1.06,N/A
2015,Cyclosporiasis,40-49,2,2.65,N/A,2.55,N/A
2015,Diphtheria,40-49,0,0.00,N/A,0.00,N/A
2015,Food Poisoning (all causes),40-49,0,0.00,N/A,0.16,N/A
2015,Carbapenemase-producing Enterobacteriaceae (CPE),40-49,0,0.00,N/A,0.00,N/A
2015,Encephalitis/Meningitis,40-49,0,0.00,N/A,1.65,N/A
2015,Giardiasis,40-49,9,11.92,N/A,12.21,N/A
2015,Gonorrhea,40-49,26,34.43,N/A,34.78,N/A
2015,"Group A Streptococcal disease, invasive",40-49,4,5.30,N/A,4.04,N/A
2015,"Group B Streptococcal disease, neonatal",40-49,0,0.00,N/A,0.00,N/A
2015,"Haemophilus influenzae disease, all types",40-49,0,0.00,N/A,0.05,N/A
2015,Hantavirus pulmonary syndrome,40-49,0,0.00,N/A,0.00,N/A
2015,Hemorrhagic fevers and Lassa fever,40-49,0,0.00,N/A,0.00,N/A
2015,Hepatitis A,40-49,0,0.00,N/A,0.27,N/A
2015,Hepatitis B (acute),40-49,0,0.00,N/A,1.38,N/A
2015,Hepatitis B (chronic),40-49,7,9.27,N/A,21.51,N/A
2015,Hepatitis C,40-49,17,22.51,N/A,37.06,N/A
2015,HIV,40-49,5,6.62,N/A,8.55,N/A
2015,Influenza,40-49,18,23.83,N/A,25.59,N/A
2015,Legionellosis,40-49,1,1.32,N/A,0.90,N/A
2015,Leprosy,40-49,0,0.00,N/A,0.00,N/A
2015,Listeriosis,40-49,0,0.00,N/A,0.27,N/A
2015,Lyme Disease,40-49,1,1.32,N/A,3.45,N/A
2015,Measles,40-49,0,0.00,N/A,0.11,N/A
2015,Tularemia,40-49,0,0.00,N/A,0.00,N/A
2015,Typhoid Fever/Paratyphoid Fever,40-49,0,0.00,N/A,0.37,N/A
2015,Verotoxin-producing E. coli,40-49,0,0.00,N/A,0.42,N/A
2015,Yersiniosis,40-49,0,0.00,N/A,0.90,N/A
2015,"Meningococcal disease, invasive",40-49,0,0.00,N/A,0.16,N/A
2015,Mpox,40-49,0,0.00,N/A,0.00,N/A
2015,Mumps,40-49,0,0.00,N/A,0.05,N/A
2015,Ophthalmia Neonatorum,40-49,0,0.00,N/A,0.00,N/A
2015,Paralytic Shellfish Poisoning,40-49,0,0.00,N/A,0.00,N/A
2015,Pertussis,40-49,5,6.62,N/A,2.18,N/A
2015,Poliomyelitis (polio) and Acute Flaccid Paralysis,40-49,0,0.00,N/A,0.00,N/A
2015,Powassan Virus,40-49,0,0.00,N/A,0.00,N/A
2015,Psittacosis/Ornithosis,40-49,0,0.00,N/A,0.00,N/A
2015,Q Fever,40-49,0,0.00,N/A,0.11,N/A
2015,Rabies,40-49,0,0.00,N/A,0.00,N/A
2015,Rubella,40-49,0,0.00,N/A,0.00,N/A
2015,"Rubella, congenital syndrome",40-49,0,0.00,N/A,0.00,N/A
2015,Salmonellosis,40-49,15,19.86,N/A,16.51,N/A
2015,Severe acute respiratory syndrome (SARS),40-49,0,0.00,N/A,0.00,N/A
2015,Shigellosis,40-49,0,0.00,N/A,2.18,N/A
2015,Smallpox,40-49,0,0.00,N/A,0.00,N/A
2015,"Streptococcus Pneumoniae, Invasive ",40-49,3,3.97,N/A,4.19,N/A
2015,Syphilis - Early Congenital,40-49,0,0.00,N/A,0.00,N/A
2015,Syphilis - Infectious,40-49,3,3.97,N/A,12.85,N/A
2015,Syphilis - Late Latent,40-49,4,5.30,N/A,7.27,N/A
2015,Tetanus,40-49,0,0.00,N/A,0.00,N/A
2015,Trichinosis,40-49,0,0.00,N/A,0.00,N/A
2015,Tuberculosis (active),40-49,2,2.65,N/A,3.82,N/A
2015,Tuberculosis (latent),40-49,49,64.88,N/A,79.28,N/A
2015,Syphilis - Other,40-49,1,1.32,N/A,0.58,N/A
2015,West Nile virus (WNv),40-49,0,0.00,N/A,0.32,N/A
2015,AIDS,50-59,1,1.30,N/A,0.58,N/A
2015,Amebiasis,50-59,7,9.10,N/A,8.26,N/A
2015,Anaplasmosis,50-59,0,0.00,N/A,0.00,N/A
2015,Anthrax,50-59,0,0.00,N/A,0.00,N/A
2015,Babesiosis,50-59,0,0.00,N/A,0.00,N/A
2015,Blastomycosis,50-59,0,0.00,N/A,0.00,N/A
2015,Botulism,50-59,0,0.00,N/A,0.00,N/A
2015,Brucellosis,50-59,0,0.00,N/A,0.00,N/A
2015,Campylobacter enteritis,50-59,21,27.29,N/A,24.00,N/A
2015,Chancroid,50-59,0,0.00,N/A,0.00,N/A
2015,Chickenpox (Varicella),50-59,0,0.00,N/A,0.43,N/A
2015,Chlamydia,50-59,16,20.79,N/A,39.02,N/A
2015,Cholera,50-59,0,0.00,N/A,0.00,N/A
2015,Creutzfeldt-Jakob Disease,50-59,1,1.30,N/A,0.14,N/A
2015,Cryptosporidiosis,50-59,0,0.00,N/A,0.82,N/A
2015,Cyclosporiasis,50-59,2,2.60,N/A,3.04,N/A
2015,Diphtheria,50-59,0,0.00,N/A,0.00,N/A
2015,Food Poisoning (all causes),50-59,0,0.00,N/A,0.63,N/A
2015,Carbapenemase-producing Enterobacteriaceae (CPE),50-59,0,0.00,N/A,0.00,N/A
2015,Encephalitis/Meningitis,50-59,2,2.60,N/A,2.03,N/A
2015,Giardiasis,50-59,11,14.29,N/A,9.95,N/A
2015,Gonorrhea,50-59,8,10.40,N/A,14.58,N/A
2015,"Group A Streptococcal disease, invasive",50-59,4,5.20,N/A,3.81,N/A
2015,"Group B Streptococcal disease, neonatal",50-59,0,0.00,N/A,0.00,N/A
2015,"Haemophilus influenzae disease, all types",50-59,0,0.00,N/A,0.00,N/A
2015,Hantavirus pulmonary syndrome,50-59,0,0.00,N/A,0.00,N/A
2015,Hemorrhagic fevers and Lassa fever,50-59,0,0.00,N/A,0.00,N/A
2015,Hepatitis A,50-59,1,1.30,N/A,0.24,N/A
2015,Hepatitis B (acute),50-59,1,1.30,N/A,1.06,N/A
2015,Hepatitis B (chronic),50-59,8,10.40,N/A,14.20,N/A
2015,Hepatitis C,50-59,18,23.39,N/A,46.60,N/A
2015,HIV,50-59,2,2.60,N/A,5.22,N/A
2015,Influenza,50-59,25,32.49,N/A,35.30,N/A
2015,Legionellosis,50-59,3,3.90,N/A,1.30,N/A
2015,Leprosy,50-59,0,0.00,N/A,0.00,N/A
2015,Listeriosis,50-59,0,0.00,N/A,0.29,N/A
2015,Lyme Disease,50-59,2,2.60,N/A,5.12,N/A
2015,Measles,50-59,0,0.00,N/A,0.05,N/A
2015,Tularemia,50-59,0,0.00,N/A,0.05,N/A
2015,Typhoid Fever/Paratyphoid Fever,50-59,0,0.00,N/A,0.29,N/A
